bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score,life_stage_fish_use_normalization_max,bsr_match_review_required,input_review_status,population_priority,limiting_factor,vulnerability_rank_min,vulnerability_rank_max,vulnerability_score_min,vulnerability_score_max,vulnerability_score,source_vulnerability_rows,source_life_stages,vulnerability_review_flag,uncertainty_notes,condition_score_raw_1_5,condition_score_source,condition_score,n,any_flag,risk_component
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Altered Flow Timing,10,10,0.36357142857142855,0.36357142857142855,0.36357142857142855,1,"Spawning, Incubation, Emergence",No,,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Altered Primary Productivity,14,14,0.08071428571428574,0.08071428571428574,0.08071428571428574,1,"Spawning, Incubation, Emergence",No,,4.31,0.84475,0.8292249999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Anthropogenic Barriers,15,15,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,"Spawning, Incubation, Emergence",No,,3.68,0.703,0.6733,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Channel and Habitat Structure,5,5,0.7171428571428571,0.7171428571428571,0.7171428571428571,1,"Spawning, Incubation, Emergence",No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Decreased Sediment Quantity,3,3,0.8585714285714285,0.8585714285714285,0.8585714285714285,1,"Spawning, Incubation, Emergence",No,,2.95,0.53875,0.49262500000000004,5,True,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Decreased Water Quantity,2,2,0.9292857142857143,0.9292857142857143,0.9292857142857143,1,"Spawning, Incubation, Emergence",No,,5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Floodplain Condition,6,6,0.6464285714285714,0.6464285714285714,0.6464285714285714,1,"Spawning, Incubation, Emergence",No,,4.78,0.9505,0.9455500000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Increased Sediment Quantity,11,11,0.2928571428571428,0.2928571428571428,0.2928571428571428,1,"Spawning, Incubation, Emergence",No,,4.51,0.88975,0.878725,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Non-Native Species Interactions and Competition,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,"Spawning, Incubation, Emergence",No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Predation,9,9,0.4342857142857143,0.4342857142857143,0.4342857142857143,1,"Spawning, Incubation, Emergence",No,,4.22,0.8245,0.80695,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Riparian Condition,13,13,0.15142857142857147,0.15142857142857147,0.15142857142857147,1,"Spawning, Incubation, Emergence",No,,4.57,0.90325,0.8935750000000001,5,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Side Channel and Wetland Habitat,7,7,0.5757142857142857,0.5757142857142857,0.5757142857142857,1,"Spawning, Incubation, Emergence",No,,4.08,0.793,0.7723,5,True,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Summer Water Temperature,1,1,1.0,1.0,1.0,1,"Spawning, Incubation, Emergence",No,,4.64,0.919,0.9108999999999999,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Water Quality,8,8,0.505,0.505,0.505,1,"Spawning, Incubation, Emergence",No,,5.0,1.0,1.0,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.77,0.4162,0.0,3.59,True,Provisional: BSR correspondence requires review,0.12,Winter Water Temperature,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,1,"Spawning, Incubation, Emergence",No,,3.91,0.75475,0.730225,3,False,0.0
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Altered Flow Timing,13,13,0.15142857142857147,0.15142857142857147,0.15142857142857147,1,Winter Rearing,No,,4.31,0.84475,0.8292249999999999,3,False,0.0113326316752885
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Altered Primary Productivity,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,Winter Rearing,No,,4.31,0.84475,0.8292249999999999,3,False,0.016624756844409064
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Anthropogenic Barriers,14,14,0.08071428571428574,0.08071428571428574,0.08071428571428574,1,Winter Rearing,No,,3.68,0.703,0.6733,3,False,0.004904667648229209
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Channel and Habitat Structure,1,1,1.0,1.0,1.0,1,Winter Rearing,No,,4.57,0.90325,0.8935750000000001,5,False,0.0806457660167131
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Decreased Sediment Quantity,4,4,0.7878571428571428,0.7878571428571428,0.7878571428571428,1,Winter Rearing,No,,2.95,0.53875,0.49262500000000004,5,True,0.03502793105849582
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Decreased Water Quantity,9,9,0.4342857142857143,0.4342857142857143,0.4342857142857143,1,Winter Rearing,No,,5.0,1.0,1.0,3,False,0.03919458814166334
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Floodplain Condition,5,5,0.7171428571428571,0.7171428571428571,0.7171428571428571,1,Winter Rearing,No,,4.78,0.9505,0.9455500000000001,5,False,0.061198494389176274
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Increased Sediment Quantity,8,8,0.505,0.505,0.505,1,Winter Rearing,No,,4.51,0.88975,0.878725,5,False,0.04004929930362116
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Non-Native Species Interactions and Competition,12,12,0.2221428571428571,0.2221428571428571,0.2221428571428571,1,Winter Rearing,No,,4.64,0.919,0.9108999999999999,3,False,0.018262221965777946
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Predation,11,11,0.2928571428571428,0.2928571428571428,0.2928571428571428,1,Winter Rearing,No,,4.22,0.8245,0.80695,3,False,0.02132814126541981
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Riparian Condition,6,6,0.6464285714285714,0.6464285714285714,0.6464285714285714,1,Winter Rearing,No,,4.57,0.90325,0.8935750000000001,5,False,0.05213172731794667
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Side Channel and Wetland Habitat,3,3,0.8585714285714285,0.8585714285714285,0.8585714285714285,1,Winter Rearing,No,,4.08,0.793,0.7723,5,True,0.0598429547154795
CC1,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,0.77,0.4162,0.25069637883008355,3.59,True,Provisional: BSR correspondence requires review,0.36,Summer Water Temperature,15,15,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,Winter Rearing,No,,4.64,0.919,0.9108999999999999,3,False,0.0008220935933147637
